Price,Close,Volume,SMA_50,EMA_50,RSI_14,Volatility
Ticker,AAPL,AAPL,,,,
Date,,,,,,
2021-09-13,145.9925537109375,102404300,144.2878448486328,144.53499898410692,49.63971943599933,3.428932984508548
2021-09-14,144.59654235839844,109296300,144.45125061035156,144.5374124497654,46.81381418669244,3.2358864817546498
2021-09-15,145.4849090576172,83281300,144.59226287841796,144.57456917948508,51.44450151183654,3.119875666911944
2021-09-16,145.25059509277344,68034100,144.6788772583008,144.60107999961403,52.76415120426955,3.075643150847715
2021-09-17,142.58558654785156,129868800,144.73811920166017,144.5220410407214,44.76933198914867,3.003973211724
2021-09-20,139.539794921875,123478900,144.699990234375,144.32665883998234,27.753514328870267,3.058218552901639
2021-09-21,140.0181121826172,75834000,144.68331909179688,144.157696225968,30.978145449705934,3.081805881147893
2021-09-22,142.3805694580078,76404300,144.69167297363282,144.08800498016566,36.02021344728388,3.0748393002958796
2021-09-23,143.33726501464844,64838200,144.65073303222655,144.05856419720422,35.58756688907974,3.079054111022658
2021-09-24,143.4251251220703,53477900,144.62461273193358,144.03372344915974,34.02592920892907,3.0838938831841363
2021-09-27,141.91197204589844,74150700,144.60897338867187,143.95051751177695,24.573266682255095,3.0958443589283613
2021-09-28,138.53428649902344,108972300,144.6025912475586,143.73811629559054,22.659526939090014,3.108255785696126
2021-09-29,139.4324493408203,74602000,144.5420407104492,143.56926661108977,26.603025245081298,3.1795189507060035
2021-09-30,138.13406372070312,89056700,144.4701434326172,143.35612139970206,31.555726054635002,3.283377429886177
2021-10-01,139.2566375732422,94639600,144.39340423583985,143.1953573280762,33.42930394405427,3.3601479534671124
2021-10-04,135.8301544189453,98322000,144.21382385253906,142.9065258414436,30.393004039386412,3.570808651233959
2021-10-05,137.75335693359375,80861100,144.06432525634764,142.70444078623382,33.472590715725104,3.682207781342015
2021-10-06,138.6221466064453,83221100,143.97548095703124,142.54435081839898,36.20485317636239,3.7596047575475313
2021-10-07,139.8814697265625,61732700,143.94672058105468,142.43992410891522,44.022434632553285,3.7857467462562084
2021-10-08,139.50074768066406,58773200,143.89747802734374,142.3246622881995,49.902155934152745,3.8278566354395065
2021-10-11,139.41287231445312,64452200,143.8421893310547,142.2104744460918,48.4531298138608,3.8729087658883006
2021-10-12,138.14381408691406,73035900,143.7681478881836,142.0509975692613,38.530692768297364,3.9465403105741053
2021-10-13,137.55807495117188,78762700,143.64652099609376,141.87480452541467,34.034517092039124,4.0431161466297505
2021-10-14,140.34027099609375,69907100,143.58853088378908,141.8146267399511,42.58211376863654,4.069774917291855
2021-10-15,141.39459228515625,67940300,143.54948303222656,141.7981548005474,48.72782883337848,4.081489102387389
2021-10-18,143.06393432617188,85589200,143.55748809814452,141.847793213317,62.15936134219721,4.080108591136213
2021-10-19,145.22134399414062,76378900,143.6096176147461,141.98008932236894,64.55562453048663,4.084467915376268
2021-10-20,145.70947265625,58418800,143.68107696533204,142.1263396491878,69.85673260753055,4.089421490670426
2021-10-21,145.9241943359375,61421000,143.7517547607422,142.27527512709955,68.3504211695992,4.097188565448511
2021-10-22,145.15301513671875,58883400,143.74785095214844,142.38812767649637,80.05046257359126,4.095729150358095
2021-10-25,145.10421752929688,50720600,143.73886993408203,142.49464100405717,76.95070455628729,4.092180276766067
2021-10-26,145.76806640625,60893400,143.7037274169922,142.62301062767258,76.59904376007442,4.066464851902167
2021-10-27,145.3092041015625,56094900,143.67756439208983,142.7283515482173,71.48372196399409,4.051517190433354
2021-10-28,148.9407501220703,100077900,143.79881042480469,142.97197502170172,79.71726662247457,4.117291296643617
2021-10-29,146.23660278320312,124953200,143.85933532714844,143.09999963979982,68.44321453021767,4.130685778890789
2021-11-01,145.41659545898438,74588300,143.8743698120117,143.1908465346698,70.14593289098949,4.13504325781512
2021-11-02,146.45140075683594,69122000,143.88042358398437,143.31871140612728,74.036907844216,4.1386608734139765
2021-11-03,147.88638305664062,54511500,143.91693298339842,143.4978357845788,71.99763362038289,4.166248514263203
2021-11-04,147.36903381347656,60394600,143.96769592285156,143.64964747198655,67.97892163480391,4.192988686507587
2021-11-05,147.8969268798828,65463900,144.04502685546876,143.81620744876682,65.61681834721615,4.229663167623094
2021-11-08,147.0757598876953,55020900,144.08523864746093,143.94403303460714,56.558529796192374,4.249072589676288
2021-11-09,147.4374237060547,56787900,144.04443481445313,144.08102874721294,56.166421446642055,4.205808534950923
2021-11-10,144.61209106445312,65187100,143.9723098754883,144.10185472043804,46.053013278105816,4.163478509291972
2021-11-11,144.5631866455078,41000000,143.8859310913086,144.11994616848,48.14511260805181,4.10391274040314
2021-11-12,146.63580322265625,63804000,143.8187469482422,144.21860722942807,54.27265219945343,4.028668060745165
2021-11-15,146.6455535888672,59222800,143.73906616210937,144.3137815964649,52.540638643225535,3.929386701696257
2021-11-16,147.6232147216797,59256200,143.63227630615233,144.4435632876498,56.504478259787966,3.7416703658234955
2021-11-17,150.05752563476562,88807000,143.60502075195313,144.6637186738112,53.365689274437806,3.6883658228553173
2021-11-18,154.33956909179688,137827700,143.68371154785157,145.043163788242,72.29950700854127,3.873718035471778
2021-11-19,156.95962524414062,117305600,143.91437713623046,145.51047600219883,78.90304418725137,4.299576768593129
2021-11-22,157.41915893554688,117467900,144.14290924072264,145.9774831760556,78.27723518576946,4.697547398495688
2021-11-23,157.8004150390625,96041900,144.40698669433593,146.4411275628402,77.02912055911474,5.079200208303446
2021-11-24,158.31858825683594,69463600,144.66366027832032,146.90691033515375,79.85097599408962,5.445822473108717
2021-11-26,153.30323791503906,76959800,144.82471313476563,147.15774671083554,61.84149664047314,5.580931540555873
2021-11-29,156.65658569335938,88748200,145.10613311767577,147.53025020034627,68.88964032941173,5.815553926605749
2021-11-30,161.6033935546875,174048100,145.54740509033203,148.08213817502633,73.65319989706927,6.20837508649123
2021-12-01,161.08526611328125,152052500,145.96874816894533,148.59206476084023,79.80174241420431,6.531911751169274
2021-12-02,160.09783935546875,136739200,146.32309356689453,149.0432716076884,77.1808539892684,6.80801724765073
2021-12-03,158.2207794189453,118023100,146.62076385498048,149.40317387479652,70.40980746474004,6.997543621261482
2021-12-06,161.62295532226562,107497000,146.98472045898438,149.88238099038355,73.56914023311757,7.294876090023892
2021-12-07,167.35189819335938,120405400,147.4935189819336,150.5674600963826,77.00738236612541,7.803310387035908
2021-12-08,171.1647491455078,116998900,148.14612823486328,151.3751969218385,77.84362531556698,8.381777301357825
2021-12-09,170.65635681152344,108923700,148.77060638427736,152.13132083908104,73.90422812781803,8.868355677257048
2021-12-10,175.43699645996094,115402700,149.5166650390625,153.04526890264498,75.45787823018642,9.501738866116982
2021-12-13,171.8099365234375,153237000,150.1677310180664,153.78113822110743,68.23574361516752,9.891654364159587
2021-12-14,170.43145751953125,139380400,150.8597570800781,154.43409191908484,65.61128947574878,10.0767503492002
2021-12-15,175.29031372070312,131063300,151.61049621582032,155.2519829701287,68.94355352130091,10.47094901735613
2021-12-16,168.40780639648438,150185800,152.2062094116211,155.7678976142995,66.18485097700031,10.563806698332534
2021-12-17,167.3127899169922,195432700,152.7548358154297,156.22063848891491,61.99905638430245,10.622815843441618
2021-12-20,165.95388793945312,107499100,153.28389862060547,156.60233454579878,55.329341227822916,10.60796327547508
2021-12-21,169.12149047851562,91185900,153.87807098388672,157.09328183727789,59.24428364709178,10.647110619878925
2021-12-22,171.71217346191406,92135300,154.54943817138673,157.6665717049107,62.88501052764154,10.69296825891237
2021-12-23,172.33786010742188,68356600,155.2450338745117,158.24191634814645,66.10884430968613,10.696335249678398
2021-12-27,176.2972869873047,74919600,155.96417419433592,158.94997009870167,66.53444115752797,10.880946711498956
2021-12-28,175.28053283691406,79144300,156.6418930053711,159.5903843237296,59.99503721129746,11.009493973843188
2021-12-29,175.3685302734375,62348900,157.28798492431642,160.20913514528678,55.84865701185402,11.14349188991893
2021-12-30,174.21490478515625,59773000,157.86785614013672,160.75838101351695,54.86363194619105,11.256560377265739
2021-12-31,173.59901428222656,64062300,158.42564697265624,161.26193525934872,47.165225282385485,11.33252853040748
2022-01-03,177.939697265625,104487900,159.06595703125,161.9159651419478,59.25048334074809,11.514760654848637
2022-01-04,175.68136596679688,99310400,159.67652404785156,162.45578478213795,57.71773811489237,11.571215334746741
2022-01-05,171.00827026367188,94537600,160.19460510253907,162.7911763696491,43.67052291691665,11.485033871013977
2022-01-06,168.153564453125,96904000,160.64231506347656,163.00146609841286,49.57339666582688,11.346663586424599
2022-01-07,168.31976318359375,86709100,161.1025262451172,163.21002676841997,51.74400382241621,11.177456497491631
2022-01-10,168.33932495117188,106765600,161.49049774169922,163.41117571676318,54.33239368547773,11.082968655618256
2022-01-11,171.1647491455078,76138300,161.9890606689453,163.7152374198512,53.757639057647985,10.942576549971644
2022-01-12,171.6046600341797,74805200,162.51282196044923,164.02462654198175,49.785293422165665,10.758343652900125
2022-01-13,168.33932495117188,84505800,162.95058044433594,164.19383040116566,42.77641418518543,10.534446132928668
2022-01-14,169.1996612548828,80440800,163.3768460083008,164.39013749346827,35.560930606791686,10.341899188610167
2022-01-18,166.00277709960938,90956700,163.74952087402343,164.45337826233657,32.66357247987153,10.08584601046708
2022-01-19,162.51258850097656,94815000,164.04183410644532,164.3772688599303,28.68722038149791,9.82545954853592
2022-01-20,160.83106994628906,91420500,164.3169403076172,164.23820223586594,28.19374563998224,9.528818022784424
2022-01-21,158.778076171875,122848900,164.5437533569336,164.0240796451212,26.932512569139178,9.249720348669017
2022-01-24,158.0056915283203,162294600,164.81162536621093,163.7880644248545,15.09770489280541,8.84584108432339
2022-01-25,156.20684814453125,115798400,165.0444985961914,163.49076182562612,15.344603804734476,8.446141183045196
2022-01-26,156.11888122558594,108275300,165.23416015625,163.20166846876182,18.33695784084486,8.124686176715297
2022-01-27,155.65940856933594,121954600,165.41443725585938,162.90589357074512,20.416857849955747,7.797213435053701
2022-01-28,166.52093505859375,179935700,165.79239166259765,163.04765990360195,47.172751665104606,7.363152319164181
2022-01-31,170.87142944335938,115541600,166.20866973876954,163.35447439535716,53.502870367790415,7.0365385096838855
2022-02-01,170.70523071289062,86213900,166.5359829711914,163.6427393489859,49.31382498538332,6.85136311260142
2022-02-02,171.90771484375,84914300,166.8349447631836,163.9668560350551,50.44245934413272,6.750355420537949
2022-02-03,169.0334014892578,89418100,167.06722961425783,164.16554409208265,51.02505407297136,6.618274011229829
2022-02-04,168.74961853027344,82465400,167.28621368408204,164.34531171710975,49.32383483357909,6.485202736985068
2022-02-07,168.03500366210938,77251200,167.4805419921875,164.49000551887445,53.299413664384545,6.3552791465713385
2022-02-08,171.13803100585938,74829200,167.83723785400392,164.750712400717,64.18209415808423,6.035792487420253
2022-02-09,172.5574188232422,71285000,168.15525451660156,165.05685775061997,69.44829952838067,5.850737180779611
2022-02-10,168.48526000976562,90865900,168.29289184570314,165.19130489803743,65.08889156642509,5.77390323928108
2022-02-11,165.07875061035156,98670700,168.37276153564454,165.1868910044027,60.16221307105175,5.6993050937417795
2022-02-14,165.31370544433594,86185500,168.47707885742187,165.1918641196942,63.69992282664735,5.591468046664558
2022-02-15,169.14111328125,62527400,168.69548553466797,165.34673663583365,67.60887408435093,5.392408535054915
2022-02-16,168.9062042236328,61177400,168.84115051269532,165.48632360006107,68.02198322319856,5.29494989494143
2022-02-17,165.31370544433594,69589300,168.80038665771485,165.4795542606209,47.95265039869453,5.314458785110124
2022-02-18,163.76708984375,82772700,168.6524334716797,165.41239879329262,36.68545308751986,5.350146853475548
2022-02-22,160.84999084472656,91162800,168.45630615234376,165.23348083452532,33.25633882560821,5.453923138175891
2022-02-23,156.6897430419922,90009200,168.08136108398438,164.89843229364166,26.506431653639083,5.60650384403186
2022-02-24,159.30335998535156,141147500,167.83122955322267,164.67901769331655,34.85682965845058,5.714703773367862
2022-02-25,161.3688201904297,91974200,167.64997680664064,164.54920602653667,39.11659829684442,5.773961684267837
2022-02-28,161.63308715820312,95056600,167.37683227539063,164.43484842385692,40.43295204025696,5.728002927209226
2022-03-01,159.7536163330078,83474400,167.20374847412108,164.25127069480402,32.3413144542058,5.826126014884689
2022-03-02,163.04269409179688,79724800,167.1183465576172,164.2038755339018,36.05054721150538,5.8557163452646135
2022-03-03,162.71966552734375,76678400,167.053662109375,164.1456712199191,40.503107538318936,5.886623558290837
2022-03-04,159.72425842285156,83737200,166.86571746826172,163.9722824827792,41.05917507722631,5.968698271516581
2022-03-07,155.93603515625,96418800,166.55019470214845,163.65713552879768,36.00236142890135,6.122282292043737
2022-03-08,154.11529541015625,131148300,166.18574340820314,163.2829457202235,26.142422709485345,6.31021700682153
2022-03-09,159.50889587402344,91454900,165.8499755859375,163.13494376547055,37.17943486942576,6.2070122835270976
2022-03-10,155.1724853515625,105342000,165.44781463623048,162.8226904943369,36.43977711626312,6.234875232492565
2022-03-11,151.46249389648438,96970100,164.9696939086914,162.37719258853878,34.44686435342912,6.373651782216819
2022-03-14,147.43931579589844,108732100,164.43418212890626,161.7913934986313,33.50986463890199,6.697623709455509
